iter	Passed	Remaining
0	59	11806
1	108	10705
2	143	9447
3	176	8625
4	214	8382
5	249	8065
6	288	7953
7	332	7975
8	361	7667
9	389	7409
10	421	7236
11	450	7064
12	481	6929
13	516	6866
14	543	6707
15	575	6622
16	603	6491
17	641	6488
18	672	6404
19	704	6343
20	736	6274
21	768	6220
22	803	6185
23	840	6160
24	873	6115
25	906	6067
26	942	6039
27	974	5983
28	1008	5946
29	1043	5912
30	1078	5877
31	1108	5817
32	1143	5787
33	1174	5734
34	1206	5689
35	1247	5681
36	1288	5675
37	1327	5657
38	1360	5616
39	1393	5574
40	1425	5528
41	1459	5491
42	1493	5451
43	1525	5407
44	1555	5357
45	1588	5319
46	1625	5291
47	1657	5249
48	1690	5208
49	1721	5165
50	1754	5125
51	1792	5100
52	1819	5047
53	1852	5009
54	1890	4985
55	1925	4952
56	1964	4929
57	2001	4899
58	2034	4862
59	2067	4823
60	2102	4791
61	2134	4751
62	2170	4720
63	2208	4693
64	2237	4647
65	2270	4610
66	2311	4588
67	2345	4553
68	2379	4518
69	2414	4484
70	2448	4448
71	2483	4415
72	2520	4384
73	2552	4345
74	2583	4306
75	2619	4273
76	2649	4232
77	2683	4197
78	2718	4163
79	2752	4128
80	2784	4091
81	2814	4049
82	2844	4009
83	2874	3969
84	2899	3923
85	2929	3882
86	2959	3843
87	2990	3806
88	3020	3766
89	3050	3728
90	3078	3687
91	3111	3652
92	3141	3614
93	3173	3578
94	3203	3540
95	3229	3498
96	3262	3464
97	3293	3427
98	3323	3390
99	3353	3353
100	3383	3316
101	3410	3276
102	3442	3241
103	3471	3204
104	3499	3166
105	3530	3130
106	3559	3093
107	3591	3059
108	3623	3025
109	3653	2988
110	3678	2949
111	3708	2913
112	3739	2879
113	3772	2846
114	3806	2813
115	3836	2777
116	3866	2742
117	3897	2708
118	3930	2675
119	3957	2638
120	3989	2604
121	4021	2570
122	4050	2535
123	4075	2498
124	4106	2464
125	4137	2430
126	4171	2397
127	4198	2361
128	4229	2327
129	4257	2292
130	4287	2258
131	4320	2225
132	4350	2191
133	4381	2158
134	4408	2122
135	4437	2088
136	4468	2054
137	4499	2021
138	4530	1988
139	4554	1951
140	4587	1919
141	4618	1886
142	4649	1853
143	4680	1820
144	4711	1787
145	4741	1753
146	4769	1719
147	4798	1685
148	4826	1651
149	4855	1618
150	4883	1584
151	4913	1551
152	4944	1519
153	4972	1485
154	5001	1452
155	5033	1419
156	5065	1387
157	5099	1355
158	5131	1323
159	5163	1290
160	5194	1258
161	5221	1224
162	5254	1192
163	5281	1159
164	5312	1126
165	5343	1094
166	5373	1061
167	5400	1028
168	5438	997
169	5473	965
170	5500	932
171	5531	900
172	5564	868
173	5596	836
174	5626	803
175	5657	771
176	5689	739
177	5720	706
178	5746	674
179	5777	641
180	5811	610
181	5842	577
182	5873	545
183	5900	513
184	5931	480
185	5963	448
186	5994	416
187	6024	384
188	6055	352
189	6083	320
190	6112	288
191	6141	255
192	6171	223
193	6199	191
194	6227	159
195	6261	127
196	6291	95
197	6321	63
198	6348	31
199	6380	0
